FONTRAST
1
95 1 32 163 20
32	0	0	0	3	20	0	3
33	0	5	0	4	20	0	4
34	0	11	0	8	20	0	8
35	0	21	0	10	20	0	9
36	0	33	0	9	20	0	9
37	0	44	0	14	20	0	14
38	0	60	0	13	20	0	12
39	0	75	0	4	20	0	4
40	0	81	0	5	20	0	5
41	0	88	0	5	20	0	5
42	0	95	0	7	20	0	6
43	0	104	0	10	20	0	10
44	0	116	0	4	20	0	4
45	0	122	0	6	20	0	5
46	0	130	0	4	20	0	4
47	0	136	0	5	20	0	4
48	0	143	0	9	20	0	9
49	0	154	0	7	20	0	7
50	0	163	0	9	20	0	9
51	0	174	0	9	20	0	9
52	0	185	0	9	20	0	9
53	0	196	0	9	20	0	9
54	0	207	0	9	20	0	9
55	0	218	0	9	20	0	9
56	0	229	0	9	20	0	9
57	0	240	0	9	20	0	9
58	0	251	0	5	20	0	5
59	0	0	22	5	20	0	5
60	0	7	22	10	20	0	10
61	0	19	22	10	20	0	10
62	0	31	22	10	20	0	10
63	0	43	22	10	20	0	10
64	0	55	22	17	20	0	16
65	0	74	22	13	20	0	12
66	0	89	22	12	20	0	12
67	0	103	22	12	20	0	12
68	0	117	22	12	20	0	12
69	0	131	22	11	20	0	11
70	0	144	22	10	20	0	10
71	0	156	22	13	20	0	13
72	0	171	22	12	20	0	12
73	0	185	22	4	20	0	4
74	0	191	22	9	20	0	9
75	0	202	22	13	20	0	12
76	0	217	22	10	20	0	10
77	0	229	22	14	20	0	14
78	0	0	44	12	20	0	12
79	0	14	44	13	20	0	13
80	0	29	44	11	20	0	11
81	0	42	44	14	20	0	13
82	0	58	44	13	20	0	12
83	0	73	44	11	20	0	11
84	0	86	44	11	20	0	10
85	0	99	44	12	20	0	12
86	0	113	44	12	20	0	11
87	0	127	44	17	20	0	16
88	0	146	44	12	20	0	11
89	0	160	44	13	20	1	11
90	0	175	44	11	20	0	10
91	0	188	44	6	20	0	5
92	0	196	44	5	20	0	4
93	0	203	44	5	20	0	5
94	0	210	44	9	20	0	9
95	0	221	44	11	20	1	9
97	0	234	44	9	20	0	9
98	0	245	44	10	20	0	10
99	0	0	66	9	20	0	9
100	0	11	66	10	20	0	10
101	0	23	66	9	20	0	9
102	0	34	66	7	20	0	5
103	0	43	66	10	20	0	10
104	0	55	66	10	20	0	10
105	0	67	66	4	20	0	4
106	0	73	66	5	20	1	4
107	0	80	66	10	20	0	9
108	0	92	66	4	20	0	4
109	0	98	66	15	20	0	15
110	0	115	66	10	20	0	10
111	0	127	66	10	20	0	10
112	0	139	66	10	20	0	10
113	0	151	66	10	20	0	10
114	0	163	66	7	20	0	6
115	0	172	66	9	20	0	9
116	0	183	66	6	20	0	5
117	0	191	66	10	20	0	10
118	0	203	66	9	20	0	9
119	0	214	66	14	20	0	13
120	0	230	66	10	20	0	9
121	0	242	66	10	20	0	9
122	0	0	88	9	20	0	8
123	0	11	88	7	20	0	6
124	0	20	88	4	20	0	4
125	0	26	88	7	20	0	6
126	0	35	88	10	20	0	10
163	0	47	88	10	20	0	9
